State,Abbreviation,Region
Alabama,AL,4
Alaska,AK,10
Arizona,AZ,9
Arkansas,AR,6
California,CA,9
Colorado,CO,8
Connecticut,CT,1
Delaware,DE,3
District_of_Columbia,DC,3
Florida,FL,4
Georgia,GA,4
Hawaii,HI,9
Idaho,ID,10
Illinois,IL,5
Indiana,IN,5
Iowa,IA,7
Kansas,KS,7
Kentucky,KY,4
Louisiana,LA,6
Maine,ME,1
Montana,MT,8
Nebraska,NE,7
Nevada,NV,9
New_Hampshire,NH,1
New_Jersey,NJ,2
New_Mexico,NM,6
New_York,NY,2
North_Carolina,NC,4
North_Dakota,ND,8
Ohio,OH,5
Oklahoma,OK,6
Oregon,OR,10
Maryland,MD,3
Massachusetts,MA,1
Michigan,MI,5
Minnesota,MN,5
Mississippi,MS,4
Missouri,MO,7
Pennsylvania,PA,3
Rhode_Island,RI,1
South_Carolina,SC,4
South_Dakota,SD,8
Tennessee,TN,4
Texas,TX,6
Utah,UT,8
Vermont,VT,1
Virginia,VA,3
Washington,WA,10
West_Virginia,WV,3
Wisconsin,WI,5
Wyoming,WY,8
